id,title,overview,genres,cast,director,keywords,vote_average,vote_count,poster_path,release_date
1452,Superman Returns,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",Adventure Fantasy Action ScienceFiction,BrandonRouth KevinSpacey KateBosworth JamesMarsden ParkerPosey,BryanSinger,savingtheworld dccomics invulnerability sequel superhero basedoncomicbook kryptonite superpowers superhumanstrength lexluthor,5.4,1400,,2006-06-28
10764,Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",Adventure Action Thriller Crime,DanielCraig OlgaKurylenko MathieuAmalric JudiDench GiancarloGiannini,MarcForster,killing undercover secretagent britishsecretservice,6.1,2965,,2008-10-30
58,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",Adventure Fantasy Action,JohnnyDepp OrlandoBloom KeiraKnightley StellanSkarsgård BillNighy,GoreVerbinski,witch fortuneteller bondage exoticisland monster captain cardgame eastindiatradingcompany compass ship daughter pirate swashbuckler aftercreditsstinger,7.0,5246,,2006-06-20
57201,The Lone Ranger,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",Action Adventure Western,JohnnyDepp ArmieHammer WilliamFichtner HelenaBonhamCarter JamesBadgeDale,GoreVerbinski,texas horse survivor texasranger partner outlaw escape lawyer train loneranger comanche theloneranger tonto,5.9,2311,,2013-07-03
49521,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",Action Adventure Fantasy ScienceFiction,HenryCavill AmyAdams MichaelShannon KevinCostner DianeLane,ZackSnyder,savingtheworld dccomics superhero basedoncomicbook superhuman alieninvasion reboot superpowers dcextendeduniverse,6.5,6359,,2013-06-12
2454,The Chronicles of Narnia: Prince Caspian,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",Adventure Family Fantasy,BenBarnes WilliamMoseley AnnaPopplewell SkandarKeynes GeorgieHenley,AndrewAdamson,basedonnovel fictionalplace brothersisterrelationship lion humanbeing wretch leapintime matteroflifeanddeath faith uncle narnia fantasyworld,6.3,1630,,2008-05-15
24428,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",ScienceFiction Action Adventure,RobertDowneyJr. ChrisEvans MarkRuffalo ChrisHemsworth ScarlettJohansson,JossWhedon,newyork shield marvelcomic superhero basedoncomicbook alieninvasion superheroteam aftercreditsstinger duringcreditsstinger marvelcinematicuniverse,7.4,11776,,2012-04-25
1865,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",Adventure Action Fantasy,JohnnyDepp PenélopeCruz IanMcShane KevinMcNally GeoffreyRush,RobMarshall,sea captain mutiny sword primeminister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d,6.4,4948,,2011-05-14
41154,Men in Black 3,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",Action Comedy ScienceFiction,WillSmith TommyLeeJones JoshBrolin MichaelStuhlbarg EmmaThompson,BarrySonnenfeld,timetravel timemachine alien fictionalgovernmentagency seeingthefuture changinghistory,6.2,4160,,2012-05-23
122917,The Hobbit: The Battle of the Five Armies,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",Action Adventure Fantasy,MartinFreeman IanMcKellen RichardArmitage KenStott GrahamMcTavish,PeterJackson,corruption elves dwarves orcs middle-earth(tolkien) hobbit dragon battle unlikelyfriendship epicbattle swordandsorcery,7.1,4760,,2014-12-10
1930,The Amazing Spider-Man,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",Action Adventure Fantasy,AndrewGarfield EmmaStone RhysIfans DenisLeary CampbellScott,MarcWebb,lossoffather vigilante serum marvelcomic scientificexperiment spiderbite maskedvigilante reboot superpowers geneticengineering socialoutcast duringcreditsstinger,6.5,6586,,2012-06-27
20662,Robin Hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",Action Adventure,RussellCrowe CateBlanchett MaxvonSydow WilliamHurt MarkStrong,RidleyScott,robinhood archer knight sherwoodforest bowandarrow middleages medieval kingofengland,6.2,1398,,2010-05-12
57158,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",Adventure Fantasy,MartinFreeman IanMcKellen RichardArmitage KenStott GrahamMcTavish,PeterJackson,elves dwarves orcs hobbit dragon wizard swordandsorcery,7.6,4524,,2013-12-11
2268,The Golden Compass,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",Adventure Fantasy,DakotaBlueRichards NicoleKidman DanielCraig SamElliott EvaGreen,ChrisWeitz,england compass experiment lordship uncle polarbear orphan animal basedonyoungadultnovel,5.8,1303,,2007-12-04
254,King Kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",Adventure Drama Action,NaomiWatts JackBlack AdrienBrody ThomasKretschmann ColinHanks,PeterJackson,filmbusiness screenplay showbusiness filmmaking filmproducer exoticisland monster indigenous ship dinosaur,6.6,2337,,2005-12-14
597,Titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",Drama Romance Thriller,KateWinslet LeonardoDiCaprio FrancesFisher BillyZane KathyBates,JamesCameron,shipwreck iceberg ship panic titanic oceanliner epic richwoman-poorman love disaster tragiclove classdifferences imax starcrossedlovers steerage salvage richsnob 3d 1910s,7.5,7562,,1997-11-18
271110,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",Adventure Action ScienceFiction,ChrisEvans RobertDowneyJr. ScarlettJohansson SebastianStan AnthonyMackie,AnthonyRusso,civilwar war marvelcomic sequel superhero basedoncomicbook imax aftercreditsstinger duringcreditsstinger marvelcinematicuniverse 3d,7.1,7241,,2016-04-27
44833,Battleship,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",Thriller Action Adventure ScienceFiction,TaylorKitsch AlexanderSkarsgård Rihanna BrooklynDecker TadanobuAsano,PeterBerg,fight u.s.navy mindreading hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommunication taser buoy communicationsexpert jointchiefsofstaff crashlanding jetfighterpilot navylieutenant permissiontomarry ussjohnpauljones basedonboardgame aftercreditsstinger mightymo ussmissouri,5.5,2114,,2012-04-11
135397,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",Action Adventure ScienceFiction Thriller,ChrisPratt BryceDallasHoward IrrfanKhan VincentD'Onofrio NickRobinson,ColinTrevorrow,monster dna tyrannosaurusrex velociraptor island sequel suspense disaster escape dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror,6.5,8662,,2015-06-09
37724,Skyfall,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",Action Adventure Thriller,DanielCraig JudiDench JavierBardem RalphFiennes NaomieHarris,SamMendes,spy secretagent sociopath killer artgallery britishsecretservice istanbulturkey imax uzi boobytrap impersonatingapoliceofficer macao,6.9,7604,,2012-10-25
558,Spider-Man 2,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",Action Adventure Fantasy,TobeyMaguire KirstenDunst JamesFranco AlfredMolina RosemaryHarris,SamRaimi,dualidentity loveofone'slife pizzaboy marvelcomic sequel superhero doctor scientist tentacle death supervillain,6.7,4321,,2004-06-25
68721,Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Action Adventure ScienceFiction,RobertDowneyJr. GwynethPaltrow DonCheadle GuyPearce RebeccaHall,ShaneBlack,terrorist waronterror tennessee malibu marvelcomic superhero basedoncomicbook tonystark ironman aftercreditsstinger marvelcinematicuniverse mandarin 3d warmachine ironpatriot extremis,6.8,8806,,2013-04-18
12155,Alice in Wonderland,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",Family Fantasy Adventure,MiaWasikowska JohnnyDepp AnneHathaway HelenaBonhamCarter CrispinGlover,TimBurton,basedonnovel fictionalplace queen fantasy aliceinwonderland fantasyworld 3d,6.4,4645,,2010-03-03
36668,X-Men: The Last Stand,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",Adventure Action ScienceFiction Thriller,HughJackman HalleBerry IanMcKellen PatrickStewart FamkeJanssen,BrettRatner,mutant marvelcomic basedoncomicbook superhuman beast cyclops aftercreditsstinger,6.3,3525,,2006-05-24
62211,Monsters University,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,Animation Family,BillyCrystal JohnGoodman SteveBuscemi HelenMirren NoahJohnston,DanScanlon,monster dormitory games animation bestfriend university scary aftercreditsstinger,7.0,3528,,2013-06-20
8373,Transformers: Revenge of the Fallen,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",ScienceFiction Action Adventure,ShiaLaBeouf MeganFox JoshDuhamel RainnWilson TyreseGibson,MichaelBay,egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger,6.0,3138,,2009-06-19
91314,Transformers: Age of Extinction,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",ScienceFiction Action Adventure,MarkWahlberg StanleyTucci KelseyGrammer NicolaPeltz JackReynor,MichaelBay,sequel alien transformers giantrobot robot imax transformingrobot,5.8,3095,,2014-06-25
68728,Oz: The Great and Powerful,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",Fantasy Adventure Family,JamesFranco MilaKunis RachelWeisz MichelleWilliams ZachBraff,SamRaimi,circus witch magic hope illusion lost magictrick wizard 3d,5.7,3530,,2013-03-07
102382,The Amazing Spider-Man 2,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",Action Adventure Fantasy,AndrewGarfield EmmaStone JamieFoxx DaneDeHaan CampbellScott,MarcWebb,obsession marvelcomic sequel basedoncomicbook electrocution medicalexperiment electricity superpowers,6.5,4179,,2014-04-16
20526,TRON: Legacy,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",Adventure Action ScienceFiction,GarrettHedlund JeffBridges OliviaWilde BruceBoxleitner YayaDaCosta,JosephKosinski,artificialintelligence secretidentity computerprogram dystopia computer deception duel motorcycle neonlight autocracy,6.3,2841,,2010-12-10
49013,Cars 2,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,Animation Family Adventure Comedy,OwenWilson LarrytheCableGuy MichaelCaine EmilyMortimer JohnTurturro,JohnLasseter,carrace sequel comedy anthropomorphism bestfriend duringcreditsstinger,5.8,2033,,2011-06-11
44912,Green Lantern,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",Adventure Action Thriller ScienceFiction,RyanReynolds BlakeLively PeterSarsgaard TimRobbins MarkStrong,MartinCampbell,dccomics transformation superhero alien alieninfection magicalobject protector superpowers origin 3d,5.1,2487,,2011-06-16
10193,Toy Story 3,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",Animation Family Comedy,TomHanks TimAllen NedBeatty JoanCusack MichaelKeaton,LeeUnkrich,hostage college toy barbie animation escape daycare teddybear duringcreditsstinger toycomestolife personification inanimateobjectscomingtolife toystory,7.6,4597,,2010-06-16
534,Terminator Salvation,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",Action ScienceFiction Thriller,ChristianBale SamWorthington AntonYelchin MoonBloodgood BryceDallasHoward,McG,savingtheworld artificialintelligence prophecy sanfrancisco cyborg killerrobot gasstation post-apocalyptic dystopia army firearm wartime losangeles,5.9,2463,,2009-05-20
168259,Furious 7,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,Action,VinDiesel PaulWalker DwayneJohnson MichelleRodriguez TyreseGibson,JamesWan,carrace speed revenge suspense car race musclecar,7.3,4176,,2015-04-01
72190,World War Z,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",Action Drama Horror ScienceFiction Thriller,BradPitt MireilleEnos AbigailHargrove SterlingJerins JamesBadgeDale,MarcForster,dystopia apocalypse zombie nuclearweapons multipleperspectives zombieapocalypse,6.7,5560,,2013-06-20
127585,X-Men: Days of Future Past,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,Action Adventure Fantasy ScienceFiction,HughJackman JamesMcAvoy MichaelFassbender JenniferLawrence HalleBerry,BryanSinger,1970s mutant timetravel marvelcomic basedoncomicbook superhuman storm beast aftercreditsstinger changingthepastorfuture,7.5,6032,,2014-05-15
54138,Star Trek Into Darkness,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",Action Adventure ScienceFiction,ChrisPine ZacharyQuinto ZoeSaldana KarlUrban SimonPegg,J.J.Abrams,spacecraft friendship sequel futuristic space alien imax spaceopera terroristbombing 3d,7.4,4418,,2013-05-05
81005,Jack the Giant Slayer,"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.",Action Family Fantasy,NicholasHoult EleanorTomlinson EwanMcGregor StanleyTucci IanMcShane,BryanSinger,basedonfairytale giant,5.5,2598,,2013-02-27
64682,The Great Gatsby,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",Drama Romance,LeonardoDiCaprio TobeyMaguire CareyMulligan JoelEdgerton ElizabethDebicki,BazLuhrmann,basedonnovel infidelity obsession hope 3d,7.3,3769,,2013-05-10
9543,Prince of Persia: The Sands of Time,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",Adventure Fantasy Action Romance,JakeGyllenhaal GemmaArterton BenKingsley AlfredMolina SteveToussaint,MikeNewell,persia sandstorm brotheragainstbrother armageddon regent basedonvideogame,6.2,2317,,2010-05-19
68726,Pacific Rim,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",Action ScienceFiction Adventure,IdrisElba CharlieHunnam CharlieDay RonPerlman BurnGorman,GuillermodelToro,dystopia giantrobot giantmonster apocalypse imax duringcreditsstinger 3d,6.7,4794,,2013-07-11
38356,Transformers: Dark of the Moon,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.",Action ScienceFiction Adventure,ShiaLaBeouf JohnMalkovich KenJeong FrancesMcDormand JoshDuhamel,MichaelBay,moon spacecraft traitor bodyguard alienplanet basedoncartoon transformers giantrobot sabotage worddomination commando duringcreditsstinger,6.1,3299,,2011-06-28
217,Indiana Jones and the Kingdom of the Crystal Skull,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",Adventure Action,HarrisonFord CateBlanchett ShiaLaBeouf RayWinstone KarenAllen,StevenSpielberg,savingtheworld riddle whip treasure mexicocity leatherjacket machinegun alienphenomenons mayacivilization peru treasurehunt nuclearexplosion refrigerator archaeologist indianajones archeology ,5.7,2495,,2008-05-21
105864,The Good Dinosaur,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,Adventure Animation Family,RaymondOchoa JackBright JeffreyWright FrancesMcDormand MaleahNipay-Padilla,PeterSohn,tyrannosaurusrex friends alternatehistory dinosaur fear storm nature human journey,6.6,1736,,2015-11-14
